DateTime,Open,High,Low,Close
2006-03-27 04:00:00,1.2039,1.2039,1.2023,1.2025
2006-03-27 08:00:00,1.2024,1.2037,1.2007,1.2015
2006-03-27 12:00:00,1.2014,1.2019,1.2008,1.2011
2006-03-27 16:00:00,1.2012,1.2026,1.2003,1.2011
2006-03-27 20:00:00,1.2009999999999998,1.2014,1.1995,1.2005
2006-03-28 00:00:00,1.2004,1.2076,1.2002,1.2066
2006-03-28 04:00:00,1.2067,1.2096,1.2056,1.2081
2006-03-28 08:00:00,1.2082,1.2108,1.2059,1.2078
2006-03-28 12:00:00,1.2077,1.2082,1.1998,1.2011
2006-03-28 16:00:00,1.2012,1.2013,1.1996,1.2001
2006-03-28 20:00:00,1.2002,1.2009,1.1999,1.2004
2006-03-29 00:00:00,1.2003,1.2021,1.1981,1.2006
2006-03-29 04:00:00,1.2005,1.2026,1.1998,1.2007
2006-03-29 08:00:00,1.2006,1.2041,1.1995,1.203
2006-03-29 12:00:00,1.2029,1.205,1.202,1.2034
2006-03-29 16:00:00,1.2035,1.2039,1.2026,1.2039
2006-03-29 20:00:00,1.2038,1.2078,1.2036,1.2076
2006-03-30 00:00:00,1.2075,1.2086,1.2049,1.2064
2006-03-30 04:00:00,1.2063,1.2101,1.2063,1.2085
2006-03-30 08:00:00,1.2084,1.2158,1.2061,1.2132
2006-03-30 12:00:00,1.2133,1.2168,1.2119,1.2165
2006-03-30 16:00:00,1.2164,1.2175,1.2155,1.2164
2006-03-30 20:00:00,1.2163,1.2179,1.2153,1.2158
2006-03-31 00:00:00,1.2159,1.2164,1.2111,1.2114
2006-03-31 04:00:00,1.2115,1.2118,1.2084,1.2109
2006-03-31 08:00:00,1.2109999999999999,1.2145,1.2084,1.214
2006-03-31 12:00:00,1.2141,1.2142,1.2113,1.2121
2006-03-31 16:00:00,1.212,1.2122,1.2118,1.2118
2006-04-02 16:00:00,1.2118,1.2126,1.2105,1.2106
2006-04-02 20:00:00,1.2105,1.2117,1.2066,1.2072
2006-04-03 00:00:00,1.2073,1.2077,1.2035,1.2056
2006-04-03 04:00:00,1.2055,1.2073,1.2044,1.2068
2006-04-03 08:00:00,1.2067,1.2142,1.2057,1.2126
2006-04-03 12:00:00,1.2125,1.2151,1.2119,1.2144
2006-04-03 16:00:00,1.2143,1.2157,1.2133,1.215
2006-04-03 20:00:00,1.2149,1.2152,1.2128,1.2144
2006-04-04 00:00:00,1.2143,1.2166,1.2123,1.2165
2006-04-04 04:00:00,1.2166,1.219,1.2154,1.2188
2006-04-04 08:00:00,1.2189,1.2278,1.2189,1.2259
2006-04-04 12:00:00,1.226,1.2271,1.2245,1.226
2006-04-04 16:00:00,1.2261,1.2269,1.2253,1.2257
2006-04-04 20:00:00,1.2258,1.2279,1.2246,1.2271
2006-04-05 00:00:00,1.2272,1.2286,1.2253,1.2261
2006-04-05 04:00:00,1.226,1.2278,1.2247,1.2265
2006-04-05 08:00:00,1.2266,1.2306,1.2258,1.2273
2006-04-05 12:00:00,1.2272,1.2306,1.2271,1.2294
2006-04-05 16:00:00,1.2295,1.2301,1.2283,1.2284
2006-04-05 20:00:00,1.2285,1.23,1.2276,1.2292
2006-04-06 00:00:00,1.2291,1.2316,1.2282,1.2295
2006-04-06 04:00:00,1.2294,1.2335,1.2291,1.2314
2006-04-06 08:00:00,1.2313,1.2319,1.22,1.2217
2006-04-06 12:00:00,1.2218,1.2233,1.2202,1.2232
2006-04-06 16:00:00,1.2231,1.2233,1.2194,1.2209
2006-04-06 20:00:00,1.2209999999999999,1.2209999999999999,1.2188,1.2202
2006-04-07 00:00:00,1.2203,1.2214,1.2169,1.2187
2006-04-07 04:00:00,1.2188,1.2206,1.2178,1.2181
2006-04-07 08:00:00,1.218,1.2226,1.2103,1.2111
2006-04-07 12:00:00,1.2109999999999999,1.212,1.2094,1.2104
2006-04-07 16:00:00,1.2103,1.2106,1.2092,1.2095
2006-04-09 16:00:00,1.2106,1.2114,1.2102,1.2103
2006-04-09 20:00:00,1.2104,1.2124,1.2103,1.2114
2006-04-10 00:00:00,1.2115,1.213,1.2091,1.2122
2006-04-10 04:00:00,1.2123,1.2129,1.21,1.2108
2006-04-10 08:00:00,1.2107,1.2124,1.2088,1.2091
2006-04-10 12:00:00,1.209,1.2108,1.2077,1.2106
2006-04-10 16:00:00,1.2105,1.2119,1.2104,1.2107
2006-04-10 20:00:00,1.2106,1.2111,1.2092,1.2109
2006-04-11 00:00:00,1.2109999999999999,1.2145,1.2109,1.214
2006-04-11 04:00:00,1.2139,1.2144,1.2103,1.2108
2006-04-11 08:00:00,1.2109,1.2141,1.2098,1.2126
2006-04-11 12:00:00,1.2125,1.2156,1.2122,1.2146
2006-04-11 16:00:00,1.2147,1.2165,1.2139,1.2157
2006-04-11 20:00:00,1.2158,1.217,1.2155,1.2163
2006-04-12 00:00:00,1.2162,1.2165,1.2144,1.2149
2006-04-12 04:00:00,1.215,1.2162,1.2136,1.2138
2006-04-12 08:00:00,1.2137,1.2138,1.2068,1.2108
2006-04-12 12:00:00,1.2107,1.2116,1.2094,1.2104
2006-04-12 16:00:00,1.2103,1.2118,1.2101,1.2105
2006-04-12 20:00:00,1.2106,1.2112,1.2095,1.2107
2006-04-13 00:00:00,1.2106,1.2135,1.2095,1.2121
2006-04-13 04:00:00,1.2122,1.2127,1.2094,1.2097
2006-04-13 08:00:00,1.2096,1.2111,1.2071,1.2107
2006-04-13 12:00:00,1.2106,1.2118,1.2096,1.2114
2006-04-13 16:00:00,1.2115,1.2118,1.2106,1.2109999999999999
2006-04-13 20:00:00,1.2111,1.2115,1.2108,1.2113
2006-04-14 00:00:00,1.2114,1.2119,1.2103,1.2107
2006-04-14 04:00:00,1.2106,1.2115,1.2102,1.2111
2006-04-14 08:00:00,1.2112,1.2114,1.2105,1.2107
2006-04-14 12:00:00,1.2106,1.2117,1.2106,1.2112
2006-04-14 16:00:00,1.2113,1.2113,1.2111,1.2112
2006-04-16 16:00:00,1.2123,1.2142,1.2122,1.2138
2006-04-16 20:00:00,1.2137,1.22,1.2137,1.2185
2006-04-17 00:00:00,1.2186,1.2191,1.2173,1.2184
2006-04-17 04:00:00,1.2185,1.2243,1.2169,1.2233
2006-04-17 08:00:00,1.2234,1.229,1.2214,1.2268
2006-04-17 12:00:00,1.2269,1.2288,1.2254,1.2257
2006-04-17 16:00:00,1.2256,1.2261,1.2249,1.2261
2006-04-17 20:00:00,1.226,1.2272,1.2255,1.2265
2006-04-18 00:00:00,1.2264,1.2268,1.2233,1.2236
2006-04-18 04:00:00,1.2237,1.2274,1.2227,1.2261
2006-04-18 08:00:00,1.2262,1.2303,1.2253,1.2276
2006-04-18 12:00:00,1.2277,1.2325,1.2275,1.2318
2006-04-18 16:00:00,1.2317,1.237,1.2314,1.236
2006-04-18 20:00:00,1.2359,1.2369,1.2344,1.2351
2006-04-19 00:00:00,1.2352,1.2365,1.2339,1.2353
2006-04-19 04:00:00,1.2352,1.2375,1.2331,1.2337
2006-04-19 08:00:00,1.2336,1.235,1.2288,1.2346
2006-04-19 12:00:00,1.2347,1.2396,1.2344,1.2389
2006-04-19 16:00:00,1.239,1.239,1.237,1.2374
2006-04-19 20:00:00,1.2375,1.2376,1.2345,1.2355
2006-04-20 00:00:00,1.2356,1.2359,1.2334,1.2355
